"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"Thu Nov 18 2021 00:00:00 GMT+0530 (India Standard Time)","13.70","13.75","13.50","13.60","-0.37","-0.64","3,238,426"
"Mon Nov 22 2021 00:00:00 GMT+0530 (India Standard Time)","13.60","13.75","13.25","13.35","-1.84","-2.11","3,725,134"
"Tue Nov 23 2021 00:00:00 GMT+0530 (India Standard Time)","13.30","13.55","13.20","13.35","0","-0.27","4,604,826"
"Wed Nov 24 2021 00:00:00 GMT+0530 (India Standard Time)","13.50","13.75","13.50","13.65","2.25","1.97","5,215,857"
"Thu Nov 25 2021 00:00:00 GMT+0530 (India Standard Time)","13.75","13.75","13.00","13.40","-1.83","-2.10","3,883,870"
"Fri Nov 26 2021 00:00:00 GMT+0530 (India Standard Time)","13.30","13.35","13.10","13.10","-2.24","-2.51","3,236,378"
"Mon Nov 29 2021 00:00:00 GMT+0530 (India Standard Time)","13.15","13.20","12.80","12.90","-1.53","-1.80","3,410,644"
"Tue Nov 30 2021 00:00:00 GMT+0530 (India Standard Time)","12.80","13.15","12.80","12.95","0.39","0.11","4,104,299"
"Wed Dec 01 2021 00:00:00 GMT+0530 (India Standard Time)","13.05","13.15","12.90","13.00","0.39","0.11","1,638,253"
"Thu Dec 02 2021 00:00:00 GMT+0530 (India Standard Time)","13.00","13.15","12.95","13.10","0.77","0.50","1,260,363"
"Fri Dec 03 2021 00:00:00 GMT+0530 (India Standard Time)","13.10","13.30","12.95","13.00","-0.76","-1.04","3,338,904"
"Mon Dec 06 2021 00:00:00 GMT+0530 (India Standard Time)","13.05","13.20","12.95","13.00","0","-0.27","3,605,940"
"Tue Dec 07 2021 00:00:00 GMT+0530 (India Standard Time)","13.10","13.15","13.05","13.10","0.77","0.50","1,807,365"
"Wed Dec 08 2021 00:00:00 GMT+0530 (India Standard Time)","13.25","13.40","13.15","13.30","1.53","1.25","3,228,048"
"Thu Dec 09 2021 00:00:00 GMT+0530 (India Standard Time)","13.30","13.55","13.20","13.40","0.75","0.48","3,732,009"
"Fri Dec 10 2021 00:00:00 GMT+0530 (India Standard Time)","13.40","13.90","13.35","13.75","2.61","2.34","6,431,949"
"Mon Dec 13 2021 00:00:00 GMT+0530 (India Standard Time)","14.00","14.15","13.65","13.70","-0.36","-0.64","3,667,309"
"Tue Dec 14 2021 00:00:00 GMT+0530 (India Standard Time)","13.60","13.70","13.55","13.60","-0.73","-1.00","2,672,552"
"Wed Dec 15 2021 00:00:00 GMT+0530 (India Standard Time)","13.60","13.65","13.40","13.40","-1.47","-1.74","1,989,964"
"Thu Dec 16 2021 00:00:00 GMT+0530 (India Standard Time)","13.45","13.65","13.25","13.30","-0.75","-1.02","2,100,909"
"Fri Dec 17 2021 00:00:00 GMT+0530 (India Standard Time)","13.30","13.35","13.00","13.05","-1.88","-2.15","2,783,424"
"Mon Dec 20 2021 00:00:00 GMT+0530 (India Standard Time)","12.90","12.95","12.55","12.60","-3.45","-3.72","4,073,548"
"Tue Dec 21 2021 00:00:00 GMT+0530 (India Standard Time)","12.70","13.00","12.70","12.75","1.19","0.92","2,424,538"
"Wed Dec 22 2021 00:00:00 GMT+0530 (India Standard Time)","12.85","12.95","12.80","12.90","1.18","0.90","1,933,592"
"Thu Dec 23 2021 00:00:00 GMT+0530 (India Standard Time)","13.00","13.15","12.95","13.00","0.78","0.50","2,478,992"
"Fri Dec 24 2021 00:00:00 GMT+0530 (India Standard Time)","13.10","13.10","12.80","12.95","-0.38","-0.66","3,501,143"
"Mon Dec 27 2021 00:00:00 GMT+0530 (India Standard Time)","12.90","13.00","12.85","12.85","-0.77","-1.05","2,205,105"
"Tue Dec 28 2021 00:00:00 GMT+0530 (India Standard Time)","12.95","13.00","12.90","12.95","0.78","0.51","1,166,876"
"Wed Dec 29 2021 00:00:00 GMT+0530 (India Standard Time)","13.00","13.10","12.90","12.95","0","-0.27","1,769,016"
"Thu Dec 30 2021 00:00:00 GMT+0530 (India Standard Time)","13.00","13.05","12.85","12.90","-0.39","-0.66","1,998,114"
"Fri Dec 31 2021 00:00:00 GMT+0530 (India Standard Time)","12.95","13.05","12.90","13.00","0.78","0.50","1,410,927"
"Mon Jan 03 2022 00:00:00 GMT+0530 (India Standard Time)","13.05","13.30","13.05","13.20","1.54","1.27","3,222,426"
"Tue Jan 04 2022 00:00:00 GMT+0530 (India Standard Time)","13.25","13.35","13.15","13.20","0","-0.27","2,288,072"
"Wed Jan 05 2022 00:00:00 GMT+0530 (India Standard Time)","13.20","13.35","13.10","13.30","0.76","0.48","4,143,419"
"Thu Jan 06 2022 00:00:00 GMT+0530 (India Standard Time)","13.25","13.30","13.15","13.20","-0.75","-1.02","2,421,624"
"Fri Jan 07 2022 00:00:00 GMT+0530 (India Standard Time)","13.30","13.40","13.20","13.25","0.38","0.11","3,110,550"
